Nr.,Vaiko gimimo metai,Prašymo pateikimo data,Vaiko priėmimo į grupę data,Deklaruotas mieste,Atitinka priskirta teritorija,Vaiko seniunija,Deklaruota gyvenamoji vieta
15611,2011,2011-04-12,2013-06-21,Taip,Taip,Verkių,Vilnius
15612,2008,2012-07-18,2011-09-01,Taip,Taip,Fabijoniškių,Vilnius
15613,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15614,2009,2012-08-08,2012-09-13,Taip,Taip,Verkių,Vilnius
15615,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15616,2009,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15617,2008,2012-07-18,2010-09-01,Taip,Taip,Verkių,Vilnius
15618,2011,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15619,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15620,2008,2012-07-18,2011-09-01,Taip,Ne,,Vilnius
15621,2008,2012-07-18,2010-09-01,Taip,Taip,Verkių,Vilnius
15622,2009,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15623,2008,2012-07-18,2010-09-03,Taip,Taip,Verkių,Vilnius
15624,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15625,2009,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15626,2009,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15627,2009,2012-07-18,2012-04-19,Taip,Taip,Verkių,Vilnius
15628,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15629,2009,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15630,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15631,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15632,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15633,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
