"ID","LABEL","CHILDSCOUNT","TYPE","SCHOOL_ID"
"13","KODĖLČIUKAI","0","Nuo 3 iki 4 metų","47"
"15","OBUOLIUKAI","0","Nuo 3 iki 4 metų","47"
"16","KAŠTONAS","0","Nuo 5 iki 6 metų","47"
"17","EŽIUKAI","0","Nuo 6 iki 7 metų","47"
"18","GILĖ","0","Nuo 5 iki 6 metų","47"
"19","SAULUTĖ","0","Nuo 4 iki 5 metų","47"
"20","ŠARKELĖ","0","Nuo 4 iki 5 metų","47"
"25","NYKŠTUKAI","0","Nuo 1,5 iki 3 metų","47"
"26","ŽIRNIUKAI","0","Nuo 1,5 iki 3 metų","47"
"27","BORUŽIUKAI","0","Nuo 1,5 iki 3 metų","47"
"28","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","47"
"29","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","47"
"1","Varpeliai","0","Nuo 3 iki 4 metų","48"
"3","Bitutės","0","Nuo 3 iki 6 metų","48"
"5","Drugeliai","19","Nuo 4 iki 5 metų","48"
"6","Boružėlės","16","Nuo 5 iki 6 metų","48"
"7","Zuikučiai","0","Nuo 1,5 iki 3 metų","48"
"8","Meškiukai","0","Nuo 1,5 iki 3 metų","48"
"10","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","48"
"3","Obuoliukai","0","Nuo 5 iki 6 metų","49"
"4","Žvaigždutės","12","Nuo 6 iki 7 metų","49"
"5","Gintarėliai","10","Nuo 6 iki 7 metų","49"
"6","Voriukai","9","Nuo 6 iki 7 metų","49"
"10","Varpeliai","0","Nuo 5 iki 6 metų","49"
"11","Bitutės","0","Nuo 4 iki 5 metų","49"
"12","Boružiukai","0","Nuo 4 iki 5 metų","49"
"13","Žirniukai","0","Nuo 3 iki 4 metų","49"
"14","Spindulėliai","0","Nuo 3 iki 4 metų","49"
"15","Meškiukai","0","Nuo 4 iki 5 metų","49"
"17","Kregždutės ","0","Nuo 1,5 iki 3 metų","49"
"18","Pingvinukai","0","Nuo 1,5 iki 3 metų","49"
"19","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","49"
"20","NAUJA DARŽELIS","20","Nuo 3 iki 4 metų","49"
"22","SAULUTĖS","0","Nuo 5 iki 6 metų","50"
"12","BITUTĖS","7","Nuo 6 iki 7 metų","50"
"23","KIŠKUČIAI","0","Nuo 5 iki 6 metų","50"
"24","VYTURĖLIAI","7","Nuo 6 iki 7 metų","50"
"13","DRUGELIAI","0","Nuo 5 iki 6 metų","50"
"14","SAULĖS ZUIKUČIAI","20","Nuo 3 iki 4 metų","50"
"15","SMALSUČIAI","20","Nuo 3 iki 4 metų","50"
"16","RUDNOSIUKAI","20","Nuo 5 iki 6 metų","50"
