Darželis;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Smalsučiai;0;0;126;132;0;0;68;66;69;63;81;0;0;71;71;69;70;88;0;0;87;77;73;76;94;0;0;66;63;69
/Spindulėlis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spragtukas;0;0;118;124;0;0;71;58;56;64;81;0;0;60;57;49;56;71;0;0;67;62;64;68;81;0;0;89;85;87
Strazdelis;0;0;175;177;0;0;83;80;84;79;105;0;0;89;81;87;88;127;0;0;115;120;124;125;143;0;0;103;104;112
Sveikuolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Šermukšnėlė;0;0;128;130;0;0;64;60;55;61;83;0;0;87;84;88;97;106;0;0;91;97;99;115;130;0;0;105;107;98
Šypsena;0;0;32;40;0;0;31;27;19;22;24;0;0;15;17;21;24;30;0;0;46;44;47;49;51;0;0;52;49;48
Šnekutis;0;0;53;54;0;0;30;27;25;23;30;0;0;26;28;29;37;44;0;0;47;38;38;44;52;0;0;49;50;48
Užupiukas;0;0;154;154;0;0;67;62;67;70;91;0;0;82;80;87;90;108;0;0;90;95;92;94;119;0;0;103;91;88
Vaidilutė;0;0;127;123;0;0;56;57;57;52;65;0;0;61;51;49;61;74;0;0;80;67;69;80;95;0;0;74;69;67
Vandenis;0;0;168;177;0;0;94;76;79;78;105;0;0;97;84;94;87;111;0;0;92;97;94;96;124;0;0;117;117;134
Varpelis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vėjelis (Gabijos g. 21)";0;0;134;130;0;0;69;62;56;68;77;0;0;67;64;64;72;87;0;0;86;85;84;102;116;0;0;93;89;85
Vėtrungė;0;0;127;131;0;0;58;63;54;57;65;0;0;56;52;53;65;78;0;0;64;54;61;71;89;0;0;100;97;99
Vilnelė;0;0;128;126;0;0;64;60;55;61;76;0;0;69;68;65;82;112;0;0;89;92;90;95;119;0;0;110;102;100
Vėrinėlis;0;0;134;133;0;0;74;69;62;69;84;0;0;81;91;85;95;109;0;0;103;94;84;89;108;0;0;79;75;76
Viltenė;0;0;77;79;0;0;51;54;59;54;53;0;0;53;57;59;59;82;0;0;75;73;72;68;83;0;0;72;67;65
Voveraitė;0;0;133;136;0;0;69;73;59;67;80;0;0;81;86;81;84;108;0;0;99;96;99;100;125;0;0;112;99;99
"Trakų Vokės";0;0;48;46;0;0;24;23;21;20;32;0;0;36;31;33;34;35;0;0;42;43;46;49;47;0;0;44;43;39
Zylutė;0;0;111;113;0;0;62;65;66;67;81;0;0;81;78;81;81;98;0;0;84;78;81;84;101;0;0;86;78;78
Želmenėliai;0;0;123;123;0;0;59;54;54;58;77;0;0;55;54;65;62;79;0;0;77;79;89;106;119;0;0;98;91;88
Žemyna;0;0;174;169;0;0;67;63;54;68;74;0;0;66;75;73;86;115;0;0;113;128;137;128;142;0;0;117;107;114
Žemuogėlė;0;0;114;118;0;0;68;59;50;64;76;0;0;78;70;74;78;98;0;0;90;83;79;81;95;0;0;80;70;66
Žibutė;0;0;61;61;0;0;38;39;34;27;37;0;0;31;29;31;34;48;0;0;50;45;51;41;56;0;0;31;30;32
Žiedas;0;0;182;180;0;0;70;61;65;54;75;0;0;91;87;85;97;116;0;0;89;84;82;86;106;0;0;103;99;100
Žilvitis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Žilvinėlio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Žiogelis;0;0;152;146;0;0;80;72;77;78;91;0;0;83;80;79;85;104;0;0;125;128;134;141;150;0;0;126;120;113
Žolynėlis;0;0;60;59;0;0;34;34;32;40;45;0;0;39;45;44;48;51;0;0;61;59;56;56;70;0;0;66;65;69
Žuvėdra;0;0;46;45;0;0;26;18;21;21;31;0;0;38;41;39;36;45;0;0;45;48;39;43;51;0;0;33;28;31
Žvangutis;0;0;69;73;0;0;37;36;38;37;39;0;0;37;30;31;38;47;0;0;41;38;43;64;70;0;0;65;68;67
Žirniukas;0;0;78;87;0;0;41;39;43;42;49;0;0;48;53;61;65;74;0;0;65;74;70;64;78;0;0;83;76;79
Aušros;0;0;256;252;0;0;73;67;71;67;81;0;0;66;65;60;70;91;0;0;79;74;78;78;100;0;0;78;80;75
Berželis;0;0;111;120;0;0;55;49;57;58;71;0;0;62;61;52;66;86;0;0;70;74;85;79;112;0;0;100;102;107
Pelėdžiukas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saulutė;0;0;253;259;0;0;101;92;83;85;86;0;0;73;74;75;87;103;0;0;106;107;112;111;125;0;0;91;87;79
Svaja;0;0;274;272;0;0;39;33;37;135;51;0;0;46;49;45;44;54;0;0;67;67;67;70;101;0;0;95;96;85
Šilelis;0;0;109;118;0;0;57;54;55;57;64;0;0;63;56;49;62;84;0;0;84;83;79;91;107;0;0;105;108;111
Vaivorykštė;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vaduvos;0;0;144;146;0;0;46;38;45;43;55;0;0;50;50;62;57;72;0;0;67;71;65;68;80;0;0;75;73;75
Vilkpėdės;0;0;89;84;0;0;53;53;57;54;66;0;0;68;59;59;60;65;0;0;63;56;61;60;82;0;0;64;61;61
Žiburėlis;0;0;81;87;0;0;53;48;52;48;56;0;0;55;53;60;62;84;0;0;98;101;101;109;126;0;0;123;115;120
Justinukas;0;0;118;120;0;0;58;57;57;54;63;0;0;50;56;65;72;94;0;0;90;93;91;96;109;0;0;90;82;81
/Aidas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangelė;0;0;92;96;0;0;59;51;63;55;62;0;0;68;71;62;81;93;0;0;104;97;97;97;108;0;0;94;88;81
Gėlynas;0;0;57;55;0;0;26;26;23;28;41;0;0;37;31;26;28;40;0;0;32;34;32;40;45;0;0;34;35;38
Obelėlė;0;0;123;121;0;0;63;58;62;52;62;0;0;59;61;63;57;74;0;0;83;85;75;79;93;0;0;98;85;102
Spygliukas;0;0;123;122;0;0;64;56;54;53;59;0;0;58;54;45;62;77;0;0;81;74;79;87;86;0;0;84;82;83
Vieversys;0;0;137;139;0;0;69;66;67;71;83;0;0;72;73;76;79;103;0;0;81;76;84;82;95;0;0;74;78;83
Žirmūnėliai;0;0;90;99;0;0;51;57;49;50;66;0;0;72;63;69;68;91;0;0;100;102;100;96;105;0;0;85;76;83
"Dainorėliai (Ankštoji g. 11)";0;0;137;138;0;0;15;10;16;21;19;0;0;14;17;15;19;27;0;0;32;32;29;36;41;0;0;28;32;32
Lokiukas;0;0;281;280;0;0;55;46;47;55;65;0;0;49;49;48;53;85;0;0;65;66;82;79;99;0;0;76;73;87
Šaltinėlis;0;0;223;221;0;0;49;45;40;46;50;0;0;46;37;48;40;62;0;0;75;73;55;63;84;0;0;84;86;75
Gabijėlė;0;0;235;248;0;0;110;95;98;101;124;0;0;109;109;117;114;144;0;0;138;141;135;152;181;0;0;145;141;145
Saulėgrąža;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pilaitukas (I. Kanto al. 7A)";0;0;161;162;0;0;101;92;86;92;98;0;0;101;94;97;99;120;0;0;128;128;130;132;143;0;0;119;115;122
Vilija;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vilties specialioji mokykla-daugiafunkcinis centras";0;0;60;61;0;0;23;25;22;22;25;0;0;22;23;22;24;24;0;0;31;33;33;41;42;0;0;37;39;39
"/Naujųjų verkių";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Švelnukas;0;0;62;69;0;0;29;31;31;38;42;0;0;43;49;50;53;59;0;0;60;51;55;55;65;0;0;57;50;48
Boružėlė;0;0;176;182;0;0;68;64;58;63;77;0;0;79;80;81;89;102;0;0;105;96;96;98;119;0;0;106;104;103
Žaliakalnio;0;0;84;80;0;0;31;31;37;44;50;0;0;40;38;45;46;51;0;0;49;53;52;58;66;0;0;70;73;68
Volungės;0;0;92;95;0;0;42;45;52;44;49;0;0;56;52;59;58;71;0;0;66;63;64;67;73;0;0;55;42;48
Giliukas;0;0;56;65;0;0;24;22;26;30;23;0;0;27;27;24;18;36;0;0;31;36;31;37;46;0;0;47;44;46
"Lazdynų mokykla (Žėručio g. 4)";0;0;57;57;0;0;7;7;9;7;14;0;0;15;22;22;30;38;0;0;33;34;35;35;40;0;0;23;20;24
"VĮ Mažasis Trinapolis mok. 160 Eur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Santariškių;0;0;138;150;0;0;69;71;70;81;94;0;0;78;74;68;73;88;0;0;103;96;91;98;98;0;0;89;70;71
"Vilnios pagrindinė mokykla";0;0;120;117;0;0;66;58;58;63;68;0;0;76;65;64;66;65;0;0;90;78;71;81;97;0;0;75;78;66
Atžalyno;0;0;80;83;0;0;36;32;29;30;37;0;0;28;22;25;23;38;0;0;41;39;45;38;44;0;0;45;37;35
"Naujininkų progimnazija";0;0;18;20;0;0;5;5;3;7;10;0;0;5;7;5;5;5;0;0;6;7;5;7;8;0;0;6;6;7
"/Vilniaus Emilijos Pliaterytės progimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Taikos progimnazija";0;0;47;46;0;0;10;8;7;7;8;0;0;4;5;8;9;8;0;0;9;10;7;8;15;0;0;12;14;14
"karaliaus Mindaugo mokykla";0;0;37;38;0;0;9;5;7;4;6;0;0;10;6;6;12;13;0;0;16;11;12;13;15;0;0;17;14;18
"VMSA testuojamas darželis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VMSA testuojamas pensionas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dienos centras šviesa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"/Vilniaus Baltupių progimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ąžuolas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Levo Karsavino mokykla";0;0;44;44;0;0;11;8;6;8;10;0;0;9;6;6;8;13;0;0;11;9;11;13;23;0;0;18;19;17
"Liepkalnio mokykla";0;0;20;20;0;0;5;3;3;3;4;0;0;10;7;7;5;7;0;0;3;4;3;3;6;0;0;4;6;5
"Pranciškaus Skorinos gimnazija";0;0;42;42;0;0;17;13;13;11;14;0;0;10;10;9;11;14;0;0;20;24;21;24;26;0;0;21;17;19
"Simono Konarskio gimnazija";0;0;17;17;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;2;3;4
"Trakų Vokės gimnazija";0;0;41;43;0;0;19;16;14;13;21;0;0;14;17;16;18;24;0;0;21;18;19;19;25;0;0;22;19;23
"Ryto progimnazija";0;0;19;20;0;0;2;4;6;4;4;0;0;1;1;3;4;6;0;0;4;4;5;4;6;0;0;5;4;5
"Salininkų gimnazija";0;0;40;40;0;0;10;12;9;8;4;0;0;5;4;6;8;8;0;0;11;12;10;12;15;0;0;6;5;8
"Spindulio progimnazija";0;0;43;43;0;0;8;7;8;4;8;0;0;5;7;8;8;10;0;0;9;8;8;9;10;0;0;13;10;10
"Vladislavo Sirokomlės gimnazija";0;0;44;44;0;0;7;6;8;7;7;0;0;9;8;10;12;14;0;0;7;9;14;13;14;0;0;9;12;13
"Pelėdos pradinė mokykla";0;0;36;38;0;0;7;4;4;7;14;0;0;5;3;6;13;14;0;0;10;12;9;15;13;0;0;8;8;10
"Valakampių socialinių paslaugų namai";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dienos centras „Šviesa“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vilniaus Joachimo Lelevelio inžinerijos gimnazija";0;0;33;33;0;0;4;5;4;4;5;0;0;3;5;7;7;23;0;0;11;11;10;10;18;0;0;8;10;7
"Juzefo Ignacijaus Kraševskio gimnazija";0;0;20;20;0;0;7;9;8;9;11;0;0;9;6;9;10;8;0;0;11;10;8;9;10;0;0;6;4;3
"Jono Pauliaus II progimnazija";0;0;64;64;0;0;16;16;14;14;15;0;0;14;13;15;13;22;0;0;19;17;16;18;21;0;0;26;23;24
"/Senamiesčio vidurinė mokykla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Verkių mokykla-daugiafunkcis centras";0;0;161;161;0;0;39;35;41;46;49;0;0;42;44;48;47;57;0;0;55;56;62;62;66;0;0;50;49;51
"Sausio 13-osios progimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Grigiškių gimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"/Viršuliškių mokykla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gluosnis;0;0;113;117;0;0;52;47;46;41;68;0;0;56;52;56;51;63;0;0;63;57;71;60;75;0;0;51;44;63
"/Vilniaus Aleksandro Puškino mokykla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ateities mokykla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Simono Stanevičiaus progimnazija";0;0;39;39;0;0;5;5;6;3;7;0;0;8;2;1;3;5;0;0;5;3;3;5;8;0;0;7;5;6
"/Vilniaus Centro mokykla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Saulėtekio mokykla-daugiafunkcinis centras";0;0;45;45;0;0;17;15;12;15;18;0;0;9;8;9;10;12;0;0;12;13;15;14;27;0;0;16;16;16
"Maironio progimnazija";0;0;34;38;0;0;4;4;4;3;4;0;0;6;6;8;7;11;0;0;8;6;7;7;9;0;0;5;10;12
"/Martyno Mažvydo progimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"/Žemynos progimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"/Mykolo Biržiškos gimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Žolynas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"/kunigaikščio Gedimino progimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VšĮ ""Smalsuolis""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Všį Karalių pasaka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vilniaus saulės vaikai";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VšĮ ""Žemės aidas""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UAB ""Superdarželiai""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VšĮ ""Aitvariukai""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
