Darželis;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
"VšĮ vaikų priežiūros centras „Pėdutės“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UAB “Po sparneliu“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"_Pirmumo teisei be eiles";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VšĮ „Barborytė“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vaikų darželis “Kaip miške“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mėnulio pasaka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mažųjų valdos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Superbriedis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VŠĮ Mokymo centras „Neozebra“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viešoji įstaiga „Karaliukų akademija“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VšĮ Gedimino miesto mokykla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Viešoji įstaiga “Vilniaus tarptautinė mokykla”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Šv. Juozapo mokykla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MB “Katino dienelės”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MB “Univesitetas mažiemus”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MB „Daržiukas“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VšĮ Mįsliaus Dirbtuvės";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Kodėlčiukas (Pavilnionių g. 29)";0;0;49;60;0;0;29;26;25;27;33;0;0;28;27;32;33;38;0;0;42;43;46;46;59;0;0;49;41;44
"UAB The British School of Vilnius";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"_nauja istaiga 2020";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gilužis (Pajautos g. 5)";0;0;14;12;0;0;3;2;3;4;5;0;0;5;6;5;8;7;0;0;7;5;5;7;9;0;0;5;6;6
"Antakalnio pradinė mokykla";0;0;25;26;0;0;9;7;6;6;8;0;0;10;7;7;6;10;0;0;5;4;4;5;10;0;0;7;6;6
"VŠĮ Pasakų namukas plius";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mokykla “Eureka“ UAB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UAB „Erudito licėjus“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MB “Buratino“ mokyklėlė";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MB MYLIMUKŲ DARŽELIS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MB Berželių sodas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UAB “Apvalaus kvadrato mokykla”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VšĮ “Auginu vaiką“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"/Šaltinio pagrindinė mokykla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vilniaus Užupio gimnazija";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pilaitukas (Vydūno g. 2-57A)";0;0;19;19;0;0;14;14;12;11;13;0;0;8;10;10;9;12;0;0;15;15;16;16;19;0;0;16;17;16
"Vėjelis (Medeinos g.8A)";0;0;49;51;0;0;37;35;35;34;35;0;0;36;36;36;33;39;0;0;40;42;43;41;43;0;0;37;39;37
"UAB HB SCHOOL VILNIUS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VŠĮ „Smalsučių slėnis“";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UAB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UAB Mįslius";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MB Koriukai";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bajorėlis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;10;8;0;0;14;14;15
"Pagrandukas (Beržyno g. 7A )";0;0;54;53;0;0;19;16;22;18;21;0;0;21;21;26;22;40;0;0;31;34;39;44;47;0;0;52;46;54
