ID;PLAN_ID;GROUP_ID;LABEL;REL_EDUCATION;GROUP_TYPE;AGE_TYPE;WILL_ACCEPT
1212;257;21;;0;0;0;14
1213;257;18;;0;0;0;3
1214;257;14;;0;0;0;2
1215;257;20;;0;0;0;15
1216;257;3;;0;0;0;22
1218;258;0;;5;1;3;45
1219;258;0;;5;2;6;40
1220;258;0;;5;2;7;10
1221;258;0;;5;3;9;6
1222;258;0;;5;2;8;10
1223;259;0;"NAUJA GRUPĖ";5;1;3;55
1224;259;0;"NAUJA GRUPĖ";5;2;6;25
1225;260;17;;0;0;0;15
1226;260;18;;0;0;0;15
1227;260;12;;0;0;0;6
1228;260;11;;0;0;0;5
1229;261;9;;0;0;0;13
1230;261;13;;0;0;0;27
1231;261;17;;0;0;0;5
1232;261;18;;0;0;0;1
1233;261;19;;0;0;0;2
1234;262;16;;0;0;0;30
1235;262;15;;0;0;0;40
1236;263;7;;0;0;0;6
1237;263;2;;0;0;0;7
1238;263;11;;0;0;0;3
1239;263;5;;0;0;0;10
1240;263;4;;0;0;0;12
1241;264;22;;0;0;0;15
1242;264;17;;0;0;0;4
1243;264;18;;0;0;0;15
1244;264;21;;0;0;0;15
1245;264;24;;0;0;0;1
1246;264;3;;0;0;0;1
1247;265;21;;0;0;0;12
1248;265;20;;0;0;0;14
1249;265;15;;0;0;0;5
1250;265;9;;0;0;0;3
1251;266;11;;0;0;0;28
1252;266;2;;0;0;0;7
1253;266;8;;0;0;0;2
1254;266;7;;0;0;0;1
1255;267;0;"NAUJA GR.";5;1;12;12
1256;267;0;"NAUJA GR.";5;2;4;15
1257;268;20;;0;0;0;24
1258;268;14;;0;0;0;10
1259;268;6;;0;0;0;1
1260;269;3;;0;0;0;12
1261;269;9;;0;0;0;5
1262;269;5;;0;0;0;7
1263;269;6;;0;0;0;4
1264;269;13;;0;0;0;2
1265;269;1;;0;0;0;4
1266;270;22;;0;0;0;14
1267;270;21;;0;0;0;14
1268;270;24;;0;0;0;10
1269;270;11;;0;0;0;14
1270;271;1;;0;0;0;15
1271;271;8;;0;0;0;2
1272;271;2;;0;0;0;6
1273;272;4;;0;0;0;7
1274;272;15;;0;0;0;5
1275;272;0;"NAUJA GRUPĖ";5;1;3;30
1276;272;0;"NAUJA GRUPĖ";5;2;6;20
1277;220;14;;0;0;0;1
1278;273;5;;0;0;0;3
1279;273;0;NAUJA;5;1;12;21
1280;254;7;;0;0;0;1
1281;274;13;;0;0;0;14
1282;274;2;;0;0;0;11
1283;274;1;;0;0;0;1
1284;220;0;DRUGELIŲ;5;1;3;1
1285;275;11;;0;0;0;7
1286;275;5;;0;0;0;12
1287;275;10;;0;0;0;2
1288;275;4;;0;0;0;15
1289;276;18;;0;0;0;40
1290;276;1;;0;0;0;11
1291;276;3;;0;0;0;9
1292;277;24;;0;0;0;29
1293;277;22;;0;0;0;33
1294;277;4;;0;0;0;12
1295;278;20;;0;0;0;16
1296;278;7;;0;0;0;42
1297;278;4;;0;0;0;1
1298;278;10;;0;0;0;3
1299;279;16;;0;0;0;15
1300;279;17;;0;0;0;15
1301;279;2;;0;0;0;14
1302;279;4;;0;0;0;14
1303;280;19;;0;0;0;15
1304;280;6;;0;0;0;9
1305;280;13;;0;0;0;8
1306;280;14;;0;0;0;9
1307;280;0;NYKŠTUKŲ;5;1;1;15
1308;280;0;ŠNEKUČIŲ;5;2;6;20
1309;280;0;VOVERIUKŲ;5;2;7;20
1310;280;0;DRUGELIŲ;5;2;8;4
1311;280;0;GUDRUČIŲ;5;2;6;5
1312;281;0;;5;1;3;31
1313;281;0;;5;2;6;12
1314;281;0;;5;2;7;1
1315;281;0;;5;2;8;15
1316;281;0;;5;3;9;3
1317;282;6;;0;0;0;12
1318;282;4;;0;0;0;3
1319;283;5;;0;0;0;15
1320;283;4;;0;0;0;3
1321;283;10;;0;0;0;10
1322;283;7;;0;0;0;10
1323;284;4;;0;0;0;15
1324;284;3;;0;0;0;13
1325;284;16;;0;0;0;6
1326;284;17;;0;0;0;6
1327;284;6;;0;0;0;6
1328;284;11;;0;0;0;2
1329;284;13;;0;0;0;2
1330;194;0;"IKIM. MESKUČIŲ";5;2;7;2
1331;194;0;"IKI. ZYLUTĖS";4;2;8;2
1337;285;0;"1,5-3 M.";5;1;5;40
1338;285;0;"3-4 M.";5;2;6;9
1339;285;0;"4-5 M.";5;2;7;1
1340;285;0;"5-6 M.";5;2;8;1
1341;285;0;"6-7 M.";5;2;9;8
1342;286;11;;0;0;0;15
1343;286;4;;0;0;0;20
1344;287;17;;0;0;0;27
1345;287;2;;0;0;0;11
1346;287;10;;0;0;0;3
1347;287;16;;0;0;0;10
