ID;LABEL;"LEFT(ADDRESS, 256)";SCHOOLNO;WWW;SCHOOL_TYPE;BUILDDATE;REGION_TYPE;ELDERATE_ID;GIS_X;GIS_Y
105;Sakalėlis;"S. Stanevičiaus g. 86";190033314;;1;1996-01-06;;4;6066416;580734
104;Sadutė;"Z. Sierakausko g. 28";190017986;;1;1996-01-07;;17;6061537;581487
103;Rūta;"Žirmūnų g. 50";190020968;;1;1961-01-01;;2;6063864;583954
99;Rugelis;"Kovo 11-osios g. 29A";190648058;;1;1111-11-11;;21;6059755;570487
101;Rytas;"Architektų g. 162";190026316;;1;1960-01-01;;11;6061623;578425
100;Riešutėlis;"Erfurto g. 21";190013621;;1;1111-11-11;;11;6060722;577783
98;Rasa;"M. Daukšos g. 15";190013055;;1;1995-09-01;;16;6060531;583570
102;Ramunėlė;"Žirmūnų g. 10";190021155;;1;1989-05-01;;2;6063400;583684
97;Raktelis;"Algimanto Petro Kavoliuko g. 12";190028662;;1;1976-02-01;;10;6063038;578274
96;"Pušynėlis (Miglos g. 53)";"Miglos g. 53";190016884;;1;1961-01-01;;6;6063459;580031
667;"Pušynėlis (A. Mickevičiaus g. 21)";"A. Mickevičiaus g. 21";190016884;;1;2018-01-01;;6;6062243;580686
95;Pušaitė;"Bistryčios g. 3";190025890;;1;1970-11-28;;13;6064071;584954
94;Puriena;"Tujų g. 1";190029611;;1;1967-12-10;;9;6063771;579356
721;"Pumpurėlis (Trinapolio g. 11)";"Trinapolio g. 11";190011951;;1;1986-10-26;;3;6066065;583013
93;"Pumpurėlis (Kalvarijų g. 186)";"Kalvarijų g. 186";190011951;;1;1961-01-01;;3;6064711;582594
92;"Prie pasakų parko";"Loretos Asanavičiūtės g. 7";190028858;;3;1989-05-01;;1111;6061370;577417
653;"Prasminga Jaunystė";"Vytauto g. 25";304422799;;2;2017-12-01;;1111;6062365;581022
91;Pipiras;"Krokuvos g. 6A";190021493;;1;2012-09-12;;3;6062992;582810
723;"Pilaitukas (Įsruties g. 27)";"Įsruties g. 27";301879757;;1;1986-10-26;;12;6064799;576100
165;"Pilaitukas (I. Kanto al. 7A)";"I. Kanto al. 7A";301879757;;1;2013-01-21;;12;6063638;576320
90;Pelenė;"Justiniškių g. 84";190022257;;1;1961-01-01;;8;6065928;578486
89;Pelėda;"Musninkų g. 10";190030542;;1;1998-11-14;;5;6065012;579870
87;Paslaptis;"Darželio g. 7";190020249;;1;1961-01-01;;14;6062328;591333
88;Pasakaitė;"Taikos g. 30";190022780;;1;1961-02-08;;8;6065571;578966
86;Pasaka;"Žirmūnų g. 110";190021917;;1;1961-01-01;;2;6066164;583842
85;Pasagėlė;Uždarytas;190015259;"PS susijungė su Krivūle";1;2012-11-19;;0;0;0
84;Papartis;"Čiobiškio g. 17";190030880;;1;1111-11-11;;5;6065285;579915
83;Panerių;"Juodšilių g. 10";190016546;;1;1111-11-11;;20;6055221;576151
82;Pakalnutė;"Architektų g. 44";190023697;;1;2000-03-11;;11;6060245;578504
81;Pagrandukas;"Mindaugo g. 15A";190013817;;1;1977-10-28;;17;6060779;582121
80;Pabiručiai;"Brolių g. 18";190021874;;1;1968-06-01;;19;6059283;581775
79;Ozas;"Gelvonų g. 24";190031982;;1;2012-09-12;;5;6064973;580945
156;Obelėlė;"Architektų g. 204";190023882;;1;2012-09-12;;11;6061258;578692
547;"NUA „Abadelė“";"Aukštagirio g. 18";302629023;http://www.abadele.lt/;2;2017-07-27;;1111;6067794;587071
563;"Nykštukėliai, MB";"M. K. Čiurlionio g. 86";302910611;http://nykstukeliai.lt;2;2017-07-31;;1111;6061293;580586
78;Nykštukas;"Taikos g. 190";290015630;;1;1986-10-26;;8;6064340;578266
524;"Nevalstybinis vaikų darželis ""Nendrė""";"Giedraičių g. 16A";195004964;;2;2017-07-27;;1111;6063230;582380
521;"Neringos Čereškevičienės įmonė ""TELE BIM BAM studija""";"Algirdo g. 11";224164280;www.telebimbam.lt;2;2017-07-27;;1111;6061128;581894
77;Neries;"A. Goštauto g. 4";190014342;;1;1996-01-14;;0;0;0
168;"Naujųjų verkių";"Popieriaus g. 46A";190012149;;1;1960-11-27;;1;6070424;586127
76;"Naminukas (Smėlio g. 13)";"Smėlio g. 13";190016012;;1;2013-03-13;;13;6064063;584574
668;"Naminukas (Klinikų g. 5)";"Klinikų g. 5";190016012;;1;2018-01-01;;13;6064324;584673
75;Molinukas;"Keramikų g. 34";190018554;;1;2012-09-12;;13;6066566;588317
656;"Mokykla „Sokratus“, UAB";"Liepyno g. 4";304433411;;2;2017-12-01;;1111;6063057;580905
74;Medynėlis;"Algimanto Petro Kavoliuko g. 5";190027375;"864724001 dir.mob.";1;1992-01-21;;10;6062825;578008
644;"MB Ugdymo ir laisvalaikio centras „Aviliukas“";"Vinco Kudirkos g. 3";303119646;;2;2017-12-01;;1111;6061459;581582
679;"MB MOKSLO TVIRTOVĖ";"Lūkesčių g. 35, Vilnius";304731429;;2;1986-10-26;;11;0;0
575;"MB Mylimukas";"Antakalnio g. 84";303250282;www.mylimukudarzelis.lt;2;2017-07-31;;1111;6064775;584715
589;"MB &quot;Apelsinų pieva plius&quot;";"Svajonių g. 7, Pašilaičių k.";304082460;www.apelsinupieva.lt;2;2017-07-31;;1111;0;0
10202;"MB „Daržiukas“";"Ateities g. 11-522, Vilnius ";305157460;;2;2019-09-02;;1;0;0
10201;"MB “Univesitetas mažiemus”";"Babinių sodų 27-oji g. 5, Vilnius";304957289;;2;2019-08-02;;1;0;0
10200;"MB “Katino dienelės”";"Karių kapų g. 20";305207358;;2;2019-08-01;;13;6063385;584854
10193;"Mažųjų valdos";"K. Donelaičio g. 5A";2147483647;http://darželis.mažųjų-valdos.lt/lt/;2;2015-09-01;;0;6061082;580842
641;"Mažoji bendrija „Pasakų namukas“";"Laisvės pr. 77E";304221885;;2;2017-12-01;;1111;6065794;579623
73;Mažylis;"A. Vivulskio g. 8A";190019318;;1;1964-06-18;;17;6060972;581880
72;Markučiai;"Pakraščio g. 15";190020587;;1;1996-01-05;;15;6060712;585088
687;Malūnėlis;"Popieriaus g. 7";304111905;;1;1986-10-26;;1;6071178;585719
71;"Lokiuko giraitė";"Kovo 11-osios g. 54";190648777;;1;1992-01-12;;21;6059688;571108
161;Lokiukas;"Igno Šimulionio g. 8";190028139;;1;1992-01-21;;10;6062788;578971
70;Linelis;"A. Mickevičiaus g. 21";290019080;;1;2013-12-17;;0;0;0
69;Liepsnelė;"Kapsų g. 7";290018740;;1;1111-11-11;;19;6059010;582319
188;"Lazdynų mokykla (Žėručio g. 4)";"Žėručio g. 4";190005489;"dir. 8 671 36758,  Dir.pav.PU Regina Ablom, mob. 8 674 20 634";1;1968-06-01;;11;6060587;578209
676;"Lazdynų mokykla (Liudvinavo g.128)";"Liudvinavo g. 128";190005489;"dir. 8 671 36758,  Dir.pav.PU Regina Ablom, mob. 8 674 20 634";1;1986-10-26;;20;6055957;572917
68;Lazdynėlis;"Šiltnamių g. 38";190018173;http://www.lazdynelis.lt/;1;1963-01-21;;11;6059743;578491
67;Lašelis;"Dzūkų g. 29";190017452;;1;1996-01-07;;19;6059341;582544
66;Lakštingala;"Lakštingalų g. 10";190023010;;1;1961-01-01;;13;6066921;585208
64;Kurpaitė;"Birželio 23-iosios g. 6";190017114;;1;1995-09-01;;17;6060317;581350
65;"Kūlverstukas (Suvalkų g. 6)";"Suvalkų g. 6";190013436;;1;1995-09-01;;17;6061494;581645
670;"Kūlverstukas (Mindaugo g. 7)";"Mindaugo g. 7";190013436;"dir.mob. 860629629";1;2018-01-01;;17;6061130;582078
720;"Krivūlė (Vokiečių g. 1)";"Vokiečių g. 1";190015782;;1;1986-10-26;;16;6060985;582957
61;"Krivūlė (Lydos g. 5)";"Lydos g. 5";190015782;;1;1992-01-21;;16;6060976;582608
10204;"Kodėlčiukas (Pavilnionių g. 29)";"Pavilnionių g. 29";190031459;;1;1987-12-12;;7;6067356;578544
62;"Kodėlčiukas (Laisvės pr. 59)";"Laisvės pr. 59";190031459;;1;1987-12-12;;5;6065259;579457
63;Klevelis;"Stadiono g. 5";190015063;;1;1996-01-13;;0;0;0
60;Kaštonas;"Antakalnio g. 108";190019841;;1;1961-01-01;;13;6065166;584743
59;Karuselė;"Gedvydžių g. 25A";190033652;;1;1991-11-15;;4;6067281;579910
152;Justinukas;"Taikos g. 99";190016731;;1;1984-04-24;;8;6065757;578141
58;Jurginėlis;"Justiniškių g. 47";190029045;;1;1961-01-01;;9;6063867;578565
57;Jovarėlis;"S. Stanevičiaus g. 21";190033467;www.darželisjovarelis.lt;1;1990-01-18;;4;6065899;580839
648;"I.Į. Virš debesų";"Filaretų g. 74A";303853017;;2;2017-12-01;;1111;6062345;585173
56;Gudrutis;"Trakų g. 12";190012715;;1;1986-05-30;;16;6061176;582562
